M4YK43	3	19	9	SP
M4YLF5	3	21	4	SP
M4YNJ5	2	12	3	SP
M4YQ94	2	11	7	SP
M4YJS4	5	19	6	SP
M4YUC6	4	15	7	SP
M4YN54	8	15	0	LIPO
M4YQP6	5	17	0	LIPO
M4YL10	5	16	12	SP
M4YM44	2	6	5	SP
M4YPU5	8	22	6	SP
M4YKX2	7	19	5	SP
M4YMW6	2	9	11	SP
M4YU94	3	12	8	SP
M4YNM1	4	20	7	SP
M4YL89	6	16	0	LIPO
M4YQ86	2	17	4	SP
M4YQI4	4	16	3	SP
M4YUE1	4	16	0	LIPO
M4YUG8	10	22	6	SP
M4YUI1	4	13	7	SP
M4YL03	5	22	6	SP
M4YPV1	3	21	6	SP
M4YKX6	4	14	0	LIPO
M4YLZ8	7	22	6	SP
R9T542	3	19	5	SP
R9T8H0	3	20	5	SP
R9T3S6	6	18	3	SP
R9T458	6	18	3	SP
R9T9K3	7	20	4	SP
R9T5X9	39	54	58	SP
R9TAB3	2	17	5	SP
R9TB42	6	21	5	SP
R9TBB5	2	12	6	SP
R9T851	6	18	3	SP
R9T887	7	13	9	SP
R9TAC1	2	12	4	SP
R9T429	2	15	6	SP
R9T6F8	6	19	0	LIPO
R9T7A5	6	18	3	SP
R9T8Y3	4	15	9	LIPO
R9T5G3	5	15	7	SP
R9T5W3	3	19	6	LIPO
R9T6H8	4	18	0	LIPO
R9T729	6	18	3	SP
R9T5R4	0	0	7	SP
R9T719	3	17	5	SP
R9T5N3	3	21	3	SP
R9T9J6	5	15	5	SP
R9T477	6	18	3	SP
R9T638	3	17	4	SP
R9T6T7	6	15	8	SP
R9T738	3	15	7	SP
R9T3N6	2	11	9	SP
R9T4L7	6	16	15	SP
R9T750	6	18	3	SP
R9T789	6	18	3	SP
R9T8D4	3	16	6	SP
R9T8G3	3	18	6	SP
R9TB85	5	15	5	SP
R9T6H3	5	16	7	SP
R9TBT2	6	16	4	LIPO
R9T3P3	6	18	3	SP
R9T4M5	3	17	0	LIPO
R9T653	1	10	0	LIPO
R9T4T5	6	18	3	SP
R9T7P5	8	23	12	SP
R9T9J3	2	16	5	SP
R9TCA7	5	12	4	SP
R9T3N0	6	18	3	SP
R9T630	7	18	6	SP
R9T834	6	18	3	SP
R9T3Q3	6	18	3	SP
R9T5U8	4	20	3	SP
B5ID61	3	13	5	SP
B5IDP9	3	16	5	SP
B5IGY0	2	14	9	SP
B5I9E3	3	16	7	SP
B5IAE3	5	17	3	SP
B5ICV3	5	20	5	SP
B5IEU3	11	16	7	SP
D3TDG0	4	15	7	SP
B5IDP7	4	13	3	SP
D3TCS0	8	15	7	SP
B5I9Z6	9	16	6	SP
D3T9L8	4	17	0	LIPO
D3TB87	4	14	14	LIPO
B5I9J8	2	14	5	SP
B5IH39	13	15	4	SP
D3T9U4	3	15	4	SP
D3TC85	6	16	4	SP
D3TCQ1	4	15	7	SP
B5I9X5	3	17	4	SP
B5ICR0	2	16	6	SP
B5IDS8	4	14	3	SP
B5IGX7	4	18	8	SP
D3T958	3	14	6	SP
D3TDF7	2	18	7	SP
B5IES4	2	15	3	SP
D3TBK4	5	14	3	SP
B5IDB6	4	13	5	SP
B5ICW3	3	16	7	SP
